Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-03-07T14:00:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Mar 2,Mar 3,Mar 4,Mar 5,Mar 6,,
Volume,,
Futures,"375,877","700,602","434,714","446,151","297,162",,
Options,"5,902","10,971","26,751","10,011","7,252",,
TOTAL,"381,779","711,573","461,465","456,162","304,414",,
Value ($'000),,
Futures,"263,102,043","548,244,726","206,357,275","214,247,935","131,163,843",,
Options,"594,290","1,099,988","2,797,421","1,071,510","767,054",,
TOTAL,"263,696,333","549,344,714","209,154,696","215,319,446","131,930,897",,
Spot Month Movement:,,
SPI 200,5940.0,5923.0,5883.0,5890.0,5890.0,,
90 Day Bank Bills,97.760,97.670,97.660,97.660,97.650,,
6% 3 Year C'wlth Bonds,98.210,98.150,98.100,98.080,98.090,,
6% 10 Year C'wlth Bonds,97.5450,97.4900,97.4050,97.4150,97.4050,,
,
