Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-07-11T13:30:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jul 6,Jul 7,Jul 8,Jul 9,Jul 10,,
Volume,,
Futures,"435,972","449,999","553,773","523,872","430,538",,
Options,"4,305","9,556","11,642","5,064","6,852",,
TOTAL,"440,277","459,555","565,415","528,936","437,390",,
Value ($'000),,
Futures,"213,253,175","226,662,128","188,221,244","183,896,525","164,715,184",,
Options,"435,573","959,059","1,177,559","507,528","720,961",,
TOTAL,"213,688,748","227,621,187","189,398,803","184,404,053","165,436,145",,
Spot Month Movement:,,
SPI 200,5432.0,5523.0,5401.0,5408.0,5437.0,,
90 Day Bank Bills,97.930,97.920,97.950,97.930,97.900,,
6% 3 Year C'wlth Bonds,98.030,98.050,98.160,98.100,98.020,,
6% 10 Year C'wlth Bonds,97.0250,97.0500,97.2100,97.1500,97.0150,,
,
