Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-12-21T15:00:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 16,Dec 17,Dec 18,Dec 19,Dec 20,,
Volume,,
Futures,"649,318","579,748","479,979","310,272","243,619",,
Options,"7,682","16,137","9,726","8,115","5,036",,
TOTAL,"657,000","595,885","489,705","318,387","248,655",,
Value ($'000),,
Futures,"169,842,791","168,092,875","137,824,509","92,380,699","92,331,073",,
Options,"935,043","1,770,344","1,169,555","839,847","554,076",,
TOTAL,"170,777,834","169,863,219","138,994,065","93,220,546","92,885,148",,
Spot Month Movement:,,
SPI 200,5101.0,5100.0,5101.0,5144.0,5143.4,,
90 Day Bank Bills,97.470,97.470,97.460,97.440,97.440,,
6% 3 Year C'wlth Bonds,96.965,97.040,97.060,97.010,97.000,,
6% 10 Year C'wlth Bonds,95.740,95.810,95.810,95.770,95.755,,
,
