Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-08-14T16:00:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 8,Aug 9,Aug 10,Aug 11,Aug 12,,
Volume,,
Futures,"693,293","711,924","536,218","521,174","334,796",,
Options,"11,635","14,091","19,773",999,892,,
TOTAL,"704,928","726,015","555,991","522,173","335,688",,
Value ($'000),,
Futures,"407,735,028","309,825,967","245,503,184","203,373,703","128,550,222",,
Options,"1,826,489","1,478,930","2,139,240","355,652","107,099",,
TOTAL,"409,561,517","311,304,897","247,642,425","203,729,355","128,657,321",,
Spot Month Movement:,,
SPI 200,3953.0,4001.0,4094.0,4093.0,4139.0,,
90 Day Bank Bills,95.560,95.610,95.450,95.540,95.520,,
6% 3 Year C'wlth Bonds,96.140,96.150,96.080,96.210,96.220,,
6% 10 Year C'wlth Bonds,95.385,95.425,95.415,95.545,95.570,,
,
