Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-09-23T16:00:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 17,Sep 18,Sep 19,Sep 20,Sep 21,,
Volume,,
Futures,"621,490","676,033","627,516","370,355","346,965",,
Options,"9,601","16,416","14,909","28,801","11,647",,
TOTAL,"631,091","692,449","642,425","399,156","358,612",,
Value ($'000),,
Futures,"176,096,837","253,448,840","223,607,558","151,548,728","151,325,546",,
Options,"993,241","1,698,679","1,522,875","2,957,587","1,197,276",,
TOTAL,"177,090,078","255,147,519","225,130,433","154,506,315","152,522,822",,
Spot Month Movement:,,
SPI 200,4398.0,4389.0,4415.0,4396.0,4395.8,,
90 Day Bank Bills,96.670,96.770,96.780,96.860,96.800,,
6% 3 Year C'wlth Bonds,97.205,97.400,97.380,97.500,97.410,,
6% 10 Year C'wlth Bonds,96.695,96.770,96.750,96.865,96.805,,
,
