Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2012-11-24T20:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 19,Nov 20,Nov 21,Nov 22,Nov 23,,
Volume,,
Futures,"233,702","362,410","404,745","315,881","223,549",,
Options,"5,317","11,674","16,066","11,207","5,726",,
TOTAL,"239,019","374,084","420,811","327,088","229,275",,
Value ($'000),,
Futures,"100,973,938","161,559,551","166,655,034","148,357,514","134,979,588",,
Options,"534,134","1,197,729","1,796,649","1,133,515","586,891",,
TOTAL,"101,508,072","162,757,280","168,451,683","149,491,030","135,566,479",,
Spot Month Movement:,,
SPI 200,4379.0,4398.0,4381.0,4423.0,4420.0,,
90 Day Bank Bills,96.790,96.790,96.800,96.790,96.780,,
6% 3 Year C'wlth Bonds,97.460,97.410,97.380,97.320,97.270,,
6% 10 Year C'wlth Bonds,96.990,96.920,96.885,96.830,96.780,,
,
