Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-09-04T17:00:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 29,Aug 30,Aug 31,Sep 1,Sep 2,,
Volume,,
Futures,"227,745","189,428","298,098","387,820","264,247",,
Options,"2,431","3,497","8,888","14,045","9,743",,
TOTAL,"230,176","192,925","306,986","401,865","273,990",,
Value ($'000),,
Futures,"116,874,729","105,445,529","108,980,344","188,931,966","103,960,032",,
Options,"267,488","394,352","936,727","4,137,001","994,336",,
TOTAL,"117,142,217","105,839,881","109,917,071","193,068,967","104,954,368",,
Spot Month Movement:,,
SPI 200,4248.0,4264.0,4289.0,4305.0,4237.0,,
90 Day Bank Bills,95.250,95.240,95.230,95.200,95.230,,
6% 3 Year C'wlth Bonds,96.130,96.150,96.190,96.100,96.150,,
6% 10 Year C'wlth Bonds,95.585,95.580,95.625,95.570,95.585,,
,
