Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-01-30T16:00:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,,
Volume,,
Futures,"227,656","302,741","51,845","240,557","241,014",,
Options,"13,553","15,360",0,"11,211","34,374",,
TOTAL,"241,209","318,101","51,845","251,768","275,388",,
Value ($'000),,
Futures,"167,981,019","224,369,892","22,176,503","121,333,868","120,709,228",,
Options,"1,371,722","1,574,621",0,"1,139,350","3,537,007",,
TOTAL,"169,352,742","225,944,514","22,176,503","122,473,217","124,246,235",,
Spot Month Movement:,,
SPI 200,4770.0,4784.0,4765.0,4780.0,4757.0,,
90 Day Bank Bills,94.980,95.010,95.010,95.020,95.030,,
6% 3 Year C'wlth Bonds,94.780,94.860,94.890,94.900,94.950,,
6% 10 Year C'wlth Bonds,94.360,94.415,94.480,94.450,94.485,,
,
