Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2010-10-31T17:47:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 25,Oct 26,Oct 27,Oct 28,Oct 29,,
Volume,,
Futures,"262,539","255,537","502,500","309,523","320,566",,
Options,"10,438","18,443","29,113","18,080","21,213",,
TOTAL,"272,977","273,980","531,613","327,603","341,779",,
Value ($'000),,
Futures,"158,545,629","119,759,867","417,136,582","194,346,595","177,332,873",,
Options,"1,052,563","1,973,150","2,933,714","1,808,341","2,158,195",,
TOTAL,"159,598,192","121,733,017","420,070,296","196,154,936","179,491,068",,
Spot Month Movement:,,
SPI 200,4719.0,4689.0,4643.0,4682.0,4647.0,,
90 Day Bank Bills,95.000,95.010,95.120,95.110,95.110,,
6% 3 Year C'wlth Bonds,94.980,95.000,95.080,95.080,95.090,,
6% 10 Year C'wlth Bonds,94.785,94.810,94.790,94.785,94.770,,
,
