Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-08-10T19:15:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 5,Aug 6,Aug 7,Aug 8,Aug 9,,
Volume,,
Futures,"383,041","606,631","384,021","438,209","405,170",,
Options,"6,342","14,038","19,684","28,609","42,069",,
TOTAL,"389,383","620,669","403,705","466,818","447,239",,
Value ($'000),,
Futures,"276,537,164","457,347,348","162,906,835","211,942,401","174,222,646",,
Options,"667,218","1,458,406","2,106,479","2,901,579","4,265,857",,
TOTAL,"277,204,382","458,805,754","165,013,314","214,843,980","178,488,503",,
Spot Month Movement:,,
SPI 200,5062.0,5060.0,4966.0,5001.0,5004.0,,
90 Day Bank Bills,97.510,97.470,97.480,97.480,97.470,,
6% 3 Year C'wlth Bonds,97.530,97.440,97.480,97.470,97.430,,
6% 10 Year C'wlth Bonds,96.395,96.280,96.305,96.325,96.285,,
,
