Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-07-01T16:00:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 25,Jun 26,Jun 27,Jun 28,Jun 29,,
Volume,,
Futures,"205,268","247,043","218,996","200,144","404,853",,
Options,"5,171","6,886","7,626","12,680","16,049",,
TOTAL,"210,439","253,929","226,622","212,824","420,902",,
Value ($'000),,
Futures,"61,102,118","96,693,249","89,902,948","90,139,307","151,180,046",,
Options,"533,678","698,667","711,257","1,298,764","1,607,943",,
TOTAL,"61,635,796","97,391,916","90,614,204","91,438,070","152,787,990",,
Spot Month Movement:,,
SPI 200,3997.0,3983.0,4012.0,4020.0,4057.0,,
90 Day Bank Bills,96.870,96.870,96.820,96.800,96.720,,
6% 3 Year C'wlth Bonds,97.650,97.700,97.670,97.680,97.610,,
6% 10 Year C'wlth Bonds,97.000,97.075,97.035,97.035,96.970,,
,
