Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-02-08T14:00:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Feb 3,Feb 4,Feb 5,Feb 6,Feb 7,,
Volume,,
Futures,"292,360","603,470",n/a,"468,284","482,868",,
Options,"17,902","23,467",–,"23,712","27,818",,
TOTAL,"310,262","626,937",–,"491,996","510,686",,
Value ($'000),,
Futures,"123,998,830","248,819,104",n/a,"171,838,844","206,035,217",,
Options,"1,828,183","2,491,621",–,"2,419,571","2,896,410",,
TOTAL,"125,827,013","251,310,725",–,"174,258,415","208,931,627",,
Spot Month Movement:,,
SPI 200,5145.0,5050.0,n/a,5082.0,5122.0,,
90 Day Bank Bills,97.410,97.400,–,97.400,97.390,,
6% 3 Year C'wlth Bonds,97.130,97.090,–,97.020,96.970,,
6% 10 Year C'wlth Bonds,96.065,96.070,–,95.970,95.905,,
,
