Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-11-04T20:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 29,Oct 30,Oct 31,Nov 1,Nov 2,,
Volume,,
Futures,"275,564","296,973","335,683","363,013",,,
Options,"17,836","7,743","23,013","17,199",,,
TOTAL,"293,400","304,716","358,696","380,212",,,
Value ($'000),,
Futures,"119,931,027","123,543,782","133,877,849","183,562,637",,,
Options,"1,793,840","797,775","2,352,492","1,838,538",,,
TOTAL,"121,724,868","124,341,557","136,230,342","185,401,175",,,
Spot Month Movement:,,
SPI 200,4478.0,4484.0,4504.0,4436.0,,,
90 Day Bank Bills,96.940,96.940,96.930,96.930,,,
6% 3 Year C'wlth Bonds,97.450,97.490,97.470,97.480,,,
6% 10 Year C'wlth Bonds,96.890,96.945,96.955,96.960,,,
,
