Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-04-17T17:00:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,,
Volume,,
Futures,"290,584","414,970","283,655","226,025","230,517",,
Options,"13,237","11,210","13,552","8,306","11,518",,
TOTAL,"303,821","426,180","297,207","234,331","242,035",,
Value ($'000),,
Futures,"138,052,395","206,377,686","89,323,306","101,464,964","74,083,507",,
Options,"1,376,097","1,128,591","1,393,984","837,677","1,172,171",,
TOTAL,"139,428,491","207,506,277","90,717,290","102,302,642","75,255,678",,
Spot Month Movement:,,
SPI 200,5001.0,4917.0,4913.0,4892.0,4863.0,,
90 Day Bank Bills,95.050,95.070,95.060,95.070,95.070,,
6% 3 Year C'wlth Bonds,94.760,94.810,94.790,94.790,94.800,,
6% 10 Year C'wlth Bonds,94.315,94.365,94.360,94.380,94.400,,
,
