Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-01-31T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,,
Volume,,
Futures,"139,442","319,039","617,104","759,640","597,732",,
Options,n/a,"8,586","13,433","19,375","10,763",,
TOTAL,"139,442","327,625","630,537","779,015","608,495",,
Value ($'000),,
Futures,"60,198,611","163,703,633","397,981,628","552,647,438","374,428,096",,
Options,n/a,"970,847","1,388,314","1,996,205","1,128,486",,
TOTAL,"60,198,611","164,674,479","399,369,941","554,643,643","375,556,581",,
Spot Month Movement:,,
SPI 200,5446.0,5491.0,5512.0,5506.0,5542.0,,
90 Day Bank Bills,97.510,97.500,97.430,97.590,97.620,,
6% 3 Year C'wlth Bonds,97.990,97.960,97.900,98.060,98.080,,
6% 10 Year C'wlth Bonds,97.4950,97.4750,97.4350,97.5550,97.5950,,
,
