Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-11-30T15:30:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 25,Nov 26,Nov 27,Nov 28,Nov 29,,
Volume,,
Futures,"225,719","320,764","324,964","357,092","202,415",,
Options,"4,841","16,713","10,920","17,274","8,805",,
TOTAL,"230,560","337,477","335,884","374,366","211,220",,
Value ($'000),,
Futures,"82,771,755","128,039,825","183,805,899","181,010,749","97,201,552",,
Options,"535,632","1,752,019","1,145,772","1,794,989","974,691",,
TOTAL,"83,307,388","129,791,845","184,951,671","182,805,739","98,176,243",,
Spot Month Movement:,,
SPI 200,5375.0,5383.0,5350.0,5352.0,5329.0,,
90 Day Bank Bills,97.420,97.420,97.420,97.420,97.430,,
6% 3 Year C'wlth Bonds,96.870,96.910,96.940,96.890,96.920,,
6% 10 Year C'wlth Bonds,95.775,95.820,95.855,95.805,95.835,,
,
