Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-12-28T14:15:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 23,Dec 24,Dec 25,Dec 26,Dec 27,,
Volume,,
Futures,"141,295","86,611",Closed,Closed,"91,616",,
Options,"2,512","1,478",–,–,"1,013",,
TOTAL,"143,807","88,089",–,–,"92,629",,
Value ($'000),,
Futures,"55,693,345","63,738,772",Closed,Closed,"32,559,928",,
Options,"282,964","171,443",–,–,"134,156",,
TOTAL,"55,976,309","63,910,216",–,–,"32,694,084",,
Spot Month Movement:,,
SPI 200,5269.0,5316.0,Closed,Closed,5314.0,,
90 Day Bank Bills,97.430,97.440,–,–,97.420,,
6% 3 Year C'wlth Bonds,97.000,97.010,–,–,96.960,,
6% 10 Year C'wlth Bonds,95.780,95.805,–,–,95.770,,
,
