Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-06-06T13:30:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 1,Jun 2,Jun 3,Jun 4,Jun 5,,
Volume,,
Futures,"359,943","510,407","621,501","658,717","410,548",,
Options,"7,259","6,362","9,372","9,497","5,307",,
TOTAL,"367,202","516,769","630,873","668,214","415,855",,
Value ($'000),,
Futures,"154,747,332","276,800,797","261,670,678","220,738,396","135,213,463",,
Options,"727,823","716,010","982,344","1,090,855","556,948",,
TOTAL,"155,475,156","277,516,807","262,653,022","221,829,251","135,770,411",,
Spot Month Movement:,,
SPI 200,5730.0,5623.0,5589.0,5508.0,5507.0,,
90 Day Bank Bills,97.870,97.850,97.850,97.850,97.850,,
6% 3 Year C'wlth Bonds,98.120,98.060,97.970,97.910,97.900,,
6% 10 Year C'wlth Bonds,97.2950,97.2600,97.1100,96.9650,96.9650,,
,
