Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-06-21T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 16,Jun 17,Jun 18,Jun 19,Jun 20,,
Volume,,
Futures,"718,223","681,857","483,530","372,690","273,756",,
Options,"11,451","11,783","6,718","17,646","7,229",,
TOTAL,"729,674","693,640","490,248","390,336","280,985",,
Value ($'000),,
Futures,"168,872,168","207,605,804","161,548,242","143,741,069","100,214,666",,
Options,"1,180,039","1,269,228","705,420","1,802,846","766,571",,
TOTAL,"170,052,207","208,875,032","162,253,662","145,543,915","100,981,237",,
Spot Month Movement:,,
SPI 200,5417.0,5398.0,5382.0,5434.0,5433.4,,
90 Day Bank Bills,97.340,97.340,97.340,97.340,97.350,,
6% 3 Year C'wlth Bonds,97.185,97.190,97.170,97.230,97.220,,
6% 10 Year C'wlth Bonds,96.255,96.290,96.250,96.325,96.310,,
,
