Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-06-26T17:00:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 20,Jun 21,Jun 22,Jun 23,Jun 24,,
Volume,,
Futures,"324,322","539,707","339,142","350,763","422,597",,
Options,"31,136","24,609","27,391","13,824","22,962",,
TOTAL,"355,458","564,316","366,533","364,587","445,559",,
Value ($'000),,
Futures,"163,929,450","287,553,342","177,161,463","169,686,085","238,496,274",,
Options,"3,134,219","2,506,123","2,744,293","3,186,953","2,300,121",,
TOTAL,"167,063,669","290,059,465","179,905,756","172,873,037","240,796,395",,
Spot Month Movement:,,
SPI 200,4449.0,4509.0,4531.0,4487.0,4497.0,,
90 Day Bank Bills,95.090,95.120,95.100,95.120,95.130,,
6% 3 Year C'wlth Bonds,95.340,95.340,95.300,95.330,95.350,,
6% 10 Year C'wlth Bonds,94.930,94.905,94.875,94.895,94.915,,
,
