Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-10-04T13:45:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 29,Sep 30,Oct 1,Oct 2,Oct 3,,
Volume,,
Futures,"351,822","413,744","459,334","566,009","403,642",,
Options,"9,540","6,590","13,443","8,128","7,814",,
TOTAL,"361,362","420,334","472,777","574,137","411,456",,
Value ($'000),,
Futures,"143,672,136","140,226,980","153,792,137","208,619,584","118,175,386",,
Options,"1,109,323","788,529","1,471,460","864,278","820,322",,
TOTAL,"144,781,459","141,015,508","155,263,597","209,483,862","118,995,709",,
Spot Month Movement:,,
SPI 200,5264.0,5283.0,5322.0,5283.0,5319.0,,
90 Day Bank Bills,97.330,97.340,97.330,97.330,97.320,,
6% 3 Year C'wlth Bonds,97.230,97.260,97.270,97.320,97.280,,
6% 10 Year C'wlth Bonds,96.470,96.485,96.480,96.545,96.510,,
,
