Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2015-11-02T13:00:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 26,Oct 27,Oct 28,Oct 29,Oct 30,,
Volume,,
Futures,"366,345","356,340","579,931","468,478","444,200",,
Options,"2,116",850,"10,473","4,487","36,110",,
TOTAL,"368,461","357,190","590,404","472,965","480,310",,
Value ($'000),,
Futures,"182,068,265","128,353,520","357,986,710","213,217,207","165,455,495",,
Options,"230,925","96,778","1,154,725","485,241","4,276,104",,
TOTAL,"182,299,189","128,450,298","359,141,435","213,702,448","169,731,599",,
Spot Month Movement:,,
SPI 200,5332.0,5346.0,5306.0,5240.0,5236.0,,
90 Day Bank Bills,97.970,97.980,98.050,98.010,98.010,,
6% 3 Yr C'wlth Bonds,98.170,98.180,98.250,98.230,98.230,,
6% 10 Yr C'wlth Bonds,97.3100,97.3400,97.3950,97.3900,97.3600,,
,
