Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-11-15T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 10,Nov 11,Nov 12,Nov 13,Nov 14,,
Volume,,
Futures,"364,624","231,900","361,619","316,382","205,359",,
Options,"6,450","10,419","9,022","14,644","6,850",,
TOTAL,"371,074","242,319","370,641","331,026","212,209",,
Value ($'000),,
Futures,"146,836,415","86,833,024","163,660,407","154,765,279","81,911,906",,
Options,"712,875","1,077,222","959,615","1,523,447","706,937",,
TOTAL,"147,549,290","87,910,246","164,620,023","156,288,726","82,618,843",,
Spot Month Movement:,,
SPI 200,5540.0,5531.0,5488.0,5449.0,5469.0,,
90 Day Bank Bills,97.260,97.250,97.240,97.240,97.240,,
6% 3 Year C'wlth Bonds,97.440,97.410,97.390,97.380,97.390,,
6% 10 Year C'wlth Bonds,96.700,96.655,96.640,96.635,96.645,,
,
