Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Tuesday at 2015-04-07T13:15:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Mar 30,Mar 31,Apr 1,Apr 2,Apr 3,,
Volume,,
Futures,"356,994","559,341","393,032","420,916",Closed,,
Options,"4,524","11,555","3,475","4,266",–,,
TOTAL,"361,518","570,896","396,507","425,182",–,,
Value ($'000),,
Futures,"186,785,936","334,155,128","170,515,971","193,313,706",Closed,,
Options,"478,962","1,164,194","361,235","450,201",–,,
TOTAL,"187,264,898","335,319,323","170,877,206","193,763,907",–,,
Spot Month Movement:,,
SPI 200,5851.0,5886.0,5848.0,5886.0,Closed,,
90 Day Bank Bills,98.000,98.030,98.020,98.040,–,,
6% 3 Year C'wlth Bonds,98.320,98.340,98.320,98.360,–,,
6% 10 Year C'wlth Bonds,97.6400,97.6800,97.6650,97.7000,–,,
,
