Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-08-03T14:15:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jul 29,Jul 30,Jul 31,Aug 1,Aug 2,,
Volume,,
Futures,"209,518","565,197","482,544","442,961","447,529",,
Options,"9,660","15,181","18,277","24,212","16,267",,
TOTAL,"219,178","580,378","500,821","467,173","463,796",,
Value ($'000),,
Futures,"119,615,671","417,773,935","286,700,486","202,974,592","228,199,206",,
Options,"975,979","1,543,468","1,923,740","2,445,763","1,697,833",,
TOTAL,"120,591,650","419,317,404","288,624,226","205,420,355","229,897,039",,
Spot Month Movement:,,
SPI 200,5010.0,5007.0,5010.0,5007.0,5068.0,,
90 Day Bank Bills,97.440,97.480,97.480,97.480,97.480,,
6% 3 Year C'wlth Bonds,97.350,97.420,97.420,97.450,97.380,,
6% 10 Year C'wlth Bonds,96.255,96.290,96.270,96.325,96.200,,
,
