Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-04-11T13:45:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Apr 6,Apr 7,Apr 8,Apr 9,Apr 10,,
Volume,,
Futures,Closed,"529,770","370,953","261,789","367,597",,
Options,–,"4,155","22,059","3,281","17,855",,
TOTAL,,"533,925","393,012","265,070","385,452",,
Value ($'000),,
Futures,–,"453,567,489","181,234,530","118,109,858","155,125,615",,
Options,–,"425,323","2,285,183","362,789","1,847,026",,
TOTAL,,"453,992,812","183,519,713","118,472,647","156,972,641",,
Spot Month Movement:,,
SPI 200,Closed,5926.0,5959.0,5935.0,5953.0,,
90 Day Bank Bills,–,97.940,97.930,97.910,97.900,,
6% 3 Year C'wlth Bonds,–,98.290,98.300,98.300,98.270,,
6% 10 Year C'wlth Bonds,–,97.6500,97.6700,97.6550,97.6350,,
,
