Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2010-10-10T16:50:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 4,Oct 5,Oct 6,Oct 7,Oct 8,,
Volume,,
Futures,"152,062","504,828","328,028","454,814","191,387",,
Options,"4,194","23,054","31,881","25,907","20,167",,
TOTAL,"156,256","527,882","359,909","480,721","211,554",,
Value ($'000),,
Futures,"94,304,014","376,342,704","175,259,195","264,414,492","81,975,607",,
Options,"419,703","2,320,107","3,212,179","2,610,811","2,030,771",,
TOTAL,"94,723,717","378,662,812","178,471,374","267,025,303","84,006,378",,
Spot Month Movement:,,
SPI 200,4638.0,4628.0,4699.0,4701.0,4695.0,,
90 Day Bank Bills,94.870,95.050,95.030,94.920,94.940,,
6% 3 Year C'wlth Bonds,95.120,95.230,95.160,95.020,95.080,,
6% 10 Year C'wlth Bonds,94.975,94.995,94.965,94.925,94.980,,
,
