Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-09-06T13:45:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 1,Sep 2,Sep 3,Sep 4,Sep 5,,
Volume,,
Futures,"192,060","271,566","469,361","536,038","341,387",,
Options,"6,437","9,776","13,850","16,394","8,737",,
TOTAL,"198,497","281,342","483,211","552,432","350,124",,
Value ($'000),,
Futures,"79,197,598","117,425,923","194,931,311","220,042,429","125,282,725",,
Options,"746,633","1,037,452","1,481,482","1,748,488","893,165",,
TOTAL,"79,944,232","118,463,375","196,412,793","221,790,918","126,175,889",,
Spot Month Movement:,,
SPI 200,5609.0,5646.0,5649.0,5633.0,5594.0,,
90 Day Bank Bills,97.380,97.380,97.380,97.380,97.380,,
6% 3 Year C'wlth Bonds,97.360,97.330,97.290,97.300,97.270,,
6% 10 Year C'wlth Bonds,96.685,96.660,96.580,96.580,96.545,,
,
