Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-01-03T14:00:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 29,Dec 30,Dec 31,Jan 1,Jan 2,,
Volume,,
Futures,"60,877","129,671","170,755",Closed,"80,773",,
Options,430,431,"1,202",–,347,,
TOTAL,"61,307","130,102","171,957",–,"81,120",,
Value ($'000),,
Futures,"24,114,089","48,691,236","72,488,441",Closed,"41,597,714",,
Options,"58,760","57,991","161,759",–,"61,714",,
TOTAL,"24,172,849","48,749,227","72,650,200",–,"41,659,428",,
Spot Month Movement:,,
SPI 200,5466.0,5382.0,5383.0,Closed,5403.0,,
90 Day Bank Bills,97.450,97.450,97.450,–,97.440,,
6% 3 Year C'wlth Bonds,97.800,97.870,97.900,–,97.850,,
6% 10 Year C'wlth Bonds,97.1300,97.2200,97.2400,–,97.1800,,
,
