Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2011-11-19T20:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 14,Nov 15,Nov 16,Nov 17,Nov 18,,
Volume,,
Futures,"173,605","231,999","286,194","351,682","254,081",,
Options,"5,808","4,035","6,844","5,091","4,569",,
TOTAL,"179,413","236,034","293,038","356,773","258,650",,
Value ($'000),,
Futures,"78,942,936","157,600,291","117,538,144","149,414,429","112,646,343",,
Options,"589,141","413,274","739,703","516,331","467,347",,
TOTAL,"79,532,077","158,013,565","118,277,847","149,930,760","113,113,691",,
Spot Month Movement:,,
SPI 200,4327.0,4307.0,4268.0,4259.0,4181.0,,
90 Day Bank Bills,95.530,95.540,95.570,95.550,95.540,,
6% 3 Year C'wlth Bonds,96.470,96.600,96.690,96.680,96.780,,
6% 10 Year C'wlth Bonds,95.765,95.895,95.970,95.905,95.985,,
,
