Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-09-28T13:45:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 23,Sep 24,Sep 25,Sep 26,Sep 27,,
Volume,,
Futures,"220,040","293,406","308,972","339,504","237,972",,
Options,"5,225","13,189","8,525","8,676","5,159",,
TOTAL,"225,265","306,595","317,497","348,180","243,131",,
Value ($'000),,
Futures,"110,257,496","148,778,848","130,152,725","148,824,751","101,015,852",,
Options,"532,014","1,351,184","942,035","918,551","563,891",,
TOTAL,"110,789,510","150,130,033","131,094,760","149,743,302","101,579,743",,
Spot Month Movement:,,
SPI 200,5263.0,5242.0,5276.0,5304.0,5309.0,,
90 Day Bank Bills,97.460,97.470,97.480,97.490,97.490,,
6% 3 Year C'wlth Bonds,96.990,97.050,97.090,97.080,97.090,,
6% 10 Year C'wlth Bonds,95.970,96.040,96.065,96.065,96.085,,
,
