Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-06-13T13:15:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 8,Jun 9,Jun 10,Jun 11,Jun 12,,
Volume,,
Futures,"125,768","833,427","2,120,319","2,047,532","736,799",,
Options,n/a,"1,065","5,928","3,894","3,578",,
TOTAL,"125,768","834,492","2,126,247","2,051,426","740,377",,
Value ($'000),,
Futures,"40,992,715","190,124,336","370,356,822","358,435,535","214,525,195",,
Options,n/a,"96,905","758,991","398,567","470,668",,
TOTAL,"40,992,715","190,221,241","371,115,814","358,834,102","214,995,863",,
Spot Month Movement:,,
SPI 200,5502.0,5462.0,5475.0,5557.0,5534.0,,
90 Day Bank Bills,97.860,97.840,97.850,97.850,97.850,,
6% 3 Year C'wlth Bonds,97.870,97.950,97.920,97.850,97.915,,
6% 10 Year C'wlth Bonds,96.9300,97.0375,96.9525,96.8550,96.9900,,
,
