Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-05-18T18:00:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,May 13,May 14,May 15,May 16,May 17,,
Volume,,
Futures,"436,865","350,539","543,618","377,056","368,520",,
Options,"28,840","18,979","21,078","15,215","7,966",,
TOTAL,"465,705","369,518","564,696","392,271","376,486",,
Value ($'000),,
Futures,"161,503,862","119,261,524","213,973,717","132,705,401","160,931,415",,
Options,"2,921,221","2,013,723","2,164,743","1,557,152","836,109",,
TOTAL,"164,425,083","121,275,247","216,138,460","134,262,553","161,767,525",,
Spot Month Movement:,,
SPI 200,5206.0,5225.0,5201.0,5174.0,5193.0,,
90 Day Bank Bills,97.280,97.290,97.270,97.280,97.270,,
6% 3 Year C'wlth Bonds,97.410,97.430,97.410,97.450,97.500,,
6% 10 Year C'wlth Bonds,96.755,96.760,96.735,96.760,96.835,,
,
