Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-04-19T13:45:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18,,
Volume,,
Futures,"352,350","282,269","384,349","287,839",Closed,,
Options,"7,374","8,057","11,778","8,973",–,,
TOTAL,"359,724","290,326","396,127","296,812",–,,
Value ($'000),,
Futures,"132,327,938","96,642,331","139,026,530","113,807,179",Closed,,
Options,"783,129","883,617","1,215,792","939,463",–,,
TOTAL,"133,111,067","97,525,949","140,242,322","114,746,642",–,,
Spot Month Movement:,,
SPI 200,5345.0,5377.0,5407.0,5443.0,Closed,,
90 Day Bank Bills,97.350,97.350,97.350,97.350,–,,
6% 3 Year C'wlth Bonds,97.020,97.000,97.010,97.030,–,,
6% 10 Year C'wlth Bonds,96.030,96.005,96.020,96.040,–,,
,
