Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-12-18T16:30:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 12,Dec 13,Dec 14,Dec 15,Dec 16,,
Volume,,
Futures,"667,835","1,438,697","725,753","373,873","209,132",,
Options,"4,707","4,429","2,457","1,823","4,037",,
TOTAL,"672,542","1,443,126","728,210","375,696","213,169",,
Value ($'000),,
Futures,"125,926,774","240,938,302","126,930,391","131,962,669","86,258,852",,
Options,"495,774","455,116","251,631","195,146","408,853",,
TOTAL,"126,422,548","241,393,418","127,182,022","132,157,815","86,667,705",,
Spot Month Movement:,,
SPI 200,4260.0,4184.0,4179.0,4153.0,4152.3,,
90 Day Bank Bills,96.220,96.250,96.240,96.270,96.260,,
6% 3 Year C'wlth Bonds,96.845,96.900,96.845,96.885,97.000,,
6% 10 Year C'wlth Bonds,96.070,96.145,96.095,96.175,96.175,,
,
