Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-01-27T20:30:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,,
Volume,,
Futures,"206,201","233,146","321,193","393,632","236,714",,
Options,"9,475","10,005","10,407","28,030","9,491",,
TOTAL,"215,676","243,151","331,600","421,662","246,205",,
Value ($'000),,
Futures,"89,189,504","92,042,340","149,415,326","159,615,652","113,077,540",,
Options,"959,142","1,067,507","1,080,382","2,807,438","953,101",,
TOTAL,"90,148,646","93,109,847","150,495,708","162,423,090","114,030,642",,
Spot Month Movement:,,
SPI 200,4743.0,4742.0,4753.0,4781.0,4804.0,,
90 Day Bank Bills,97.120,97.110,97.140,97.160,97.140,,
6% 3 Year C'wlth Bonds,97.240,97.230,97.290,97.330,97.300,,
6% 10 Year C'wlth Bonds,96.665,96.665,96.735,96.750,96.710,,
,
