Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Wednesday at 2011-01-05T16:30:11+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 23,Dec 24,Dec 29,Dec 30,Dec 31,,
Volume,,
Futures,"91,045","63,062","64,749","103,696","78,251",,
Options,"3,925",744,311,6,164,,
TOTAL,"94,970","63,806","65,060","103,702","78,415",,
Value ($'000),,
Futures,"30,579,078","33,110,369","28,707,958","45,942,347","28,134,042",,
Options,"456,060","75,281","37,395",721,"19,396",,
TOTAL,"31,035,138","33,185,650","28,745,353","45,943,067","28,153,439",,
Spot Month Movement:,,
SPI 200,4813.0,4784.0,4774.0,4796.0,4730.0,,
90 Day Bank Bills,94.900,94.900,94.900,94.930,94.930,,
6% 3 Year C'wlth Bonds,94.610,94.610,94.590,94.660,94.700,,
6% 10 Year C'wlth Bonds,94.305,94.300,94.275,94.375,94.435,,
,
