Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-03-22T13:30:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,,
Volume,,
Futures,"563,553","579,759","437,855","474,661","302,551",,
Options,"20,067","22,863","12,960","38,366","12,742",,
TOTAL,"583,620","602,622","450,815","513,027","315,293",,
Value ($'000),,
Futures,"164,704,739","135,937,888","121,319,690","171,433,373","102,926,861",,
Options,"2,183,487","2,432,238","1,376,554","3,939,089","1,321,695",,
TOTAL,"166,888,226","138,370,126","122,696,244","175,372,463","104,248,555",,
Spot Month Movement:,,
SPI 200,5322.0,5348.0,5358.0,5344.0,5343.5,,
90 Day Bank Bills,97.360,97.360,97.360,97.360,97.360,,
6% 3 Year C'wlth Bonds,97.065,96.995,97.010,96.960,96.930,,
6% 10 Year C'wlth Bonds,96.010,95.910,95.925,95.860,95.830,,
,
