Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-08-22T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 17,Aug 18,Aug 19,Aug 20,Aug 21,,
Volume,,
Futures,"206,323","278,364","266,766","357,802","533,852",,
Options,"5,298","5,225","6,683","9,391","16,094",,
TOTAL,"211,621","283,589","273,449","367,193","549,946",,
Value ($'000),,
Futures,"53,684,725","82,555,821","69,776,799","129,550,483","216,818,782",,
Options,"684,182","568,631","796,124","1,017,456","1,641,320",,
TOTAL,"54,368,907","83,124,452","70,572,923","130,567,939","218,460,102",,
Spot Month Movement:,,
SPI 200,5302.0,5269.0,5353.0,5237.0,5168.0,,
90 Day Bank Bills,97.890,97.890,97.890,97.890,97.910,,
6% 3 Yr C'wlth Bonds,98.030,98.060,98.060,98.120,98.190,,
6% 10 Yr C'wlth Bonds,97.1900,97.2300,97.2300,97.3050,97.3850,,
,
