Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-07-29T16:30:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jul 23,Jul 24,Jul 25,Jul 26,Jul 27,,
Volume,,
Futures,"323,182","357,454","421,694","301,332","409,014",,
Options,"12,594","12,239","17,153","14,527","11,964",,
TOTAL,"335,776","369,693","438,847","315,859","420,978",,
Value ($'000),,
Futures,"145,600,301","158,006,198","225,014,946","113,090,457","136,092,068",,
Options,"1,317,505","1,237,055","1,753,444","1,464,950","1,209,767",,
TOTAL,"146,917,805","159,243,253","226,768,390","114,555,407","137,301,835",,
Spot Month Movement:,,
SPI 200,4090.0,4085.0,4082.0,4103.0,4173.0,,
90 Day Bank Bills,96.780,96.750,96.730,96.680,96.610,,
6% 3 Year C'wlth Bonds,97.900,97.860,97.890,97.810,97.600,,
6% 10 Year C'wlth Bonds,97.305,97.275,97.310,97.270,97.090,,
,
