Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-12-30T20:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 24,Dec 25,Dec 26,Dec 27,Dec 28,,
Volume,,
Futures,"68,350",Closed,Closed,"89,381","144,821",,
Options,"6,350",–,–,12,757,,
TOTAL,"74,700",–,–,"89,393","145,578",,
Value ($'000),,
Futures,"28,014,293",–,–,"54,935,370","67,729,077",,
Options,"651,858",–,–,"1,378","86,054",,
TOTAL,"28,666,150",–,–,"54,936,748","67,815,131",,
Spot Month Movement:,,
SPI 200,4613.0,–,–,4628.0,4646.0,,
90 Day Bank Bills,97.150,–,–,97.180,97.180,,
6% 3 Year C'wlth Bonds,97.270,–,–,97.270,97.290,,
6% 10 Year C'wlth Bonds,96.680,–,–,96.670,96.700,,
,
