Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-05-03T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Apr 28,Apr 29,Apr 30,May 1,May 2,,
Volume,,
Futures,"254,105","315,261","363,442","330,445","269,162",,
Options,"2,735","21,236","12,438","23,171","7,407",,
TOTAL,"256,840","336,497","375,880","353,616","276,569",,
Value ($'000),,
Futures,"102,256,221","145,270,725","122,409,219","106,010,651","103,408,135",,
Options,"303,528","2,180,791","1,345,086","2,333,485","783,919",,
TOTAL,"102,559,750","147,451,516","123,754,305","108,344,136","104,192,055",,
Spot Month Movement:,,
SPI 200,5533.0,5477.0,5469.0,5434.0,5447.0,,
90 Day Bank Bills,97.360,97.360,97.360,97.360,97.350,,
6% 3 Year C'wlth Bonds,97.090,97.080,97.060,97.070,97.080,,
6% 10 Year C'wlth Bonds,96.080,96.070,96.060,96.070,96.100,,
,
