Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-03-13T16:30:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Mar 7,Mar 8,Mar 9,Mar 10,Mar 11,,
Volume,,
Futures,"249,805","281,403","538,503","756,303","1,156,876",,
Options,"28,584","18,900","15,096","21,759","48,613",,
TOTAL,"278,389","300,303","553,599","778,062","1,205,489",,
Value ($'000),,
Futures,"96,617,590","108,968,411","227,061,511","309,076,683","246,877,806",,
Options,"2,882,925","1,953,078","1,557,921","2,210,928","4,892,794",,
TOTAL,"99,500,515","110,921,489","228,619,432","311,287,611","251,770,600",,
Spot Month Movement:,,
SPI 200,4790.0,4806.0,4774.0,4689.0,4631.0,,
90 Day Bank Bills,95.030,95.030,95.020,95.150,95.150,,
6% 3 Year C'wlth Bonds,94.900,94.890,94.890,94.950,94.975,,
6% 10 Year C'wlth Bonds,94.475,94.445,94.435,94.500,94.515,,
,
