Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-08-29T13:45:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 24,Aug 25,Aug 26,Aug 27,Aug 28,,
Volume,,
Futures,"712,529","885,855","783,943","665,283","330,581",,
Options,"11,215","12,896","15,679","9,321","8,656",,
TOTAL,"723,744","898,751","799,622","674,604","339,237",,
Value ($'000),,
Futures,"373,772,832","350,268,767","326,309,773","275,813,532","119,993,365",,
Options,"1,177,313","1,465,166","1,744,614","1,005,567","1,043,473",,
TOTAL,"374,950,145","351,733,933","328,054,387","276,819,099","121,036,838",,
Spot Month Movement:,,
SPI 200,4951.0,5127.0,5125.0,5186.0,5234.0,,
90 Day Bank Bills,97.950,97.930,97.940,97.920,97.910,,
6% 3 Yr C'wlth Bonds,98.290,98.250,98.230,98.210,98.180,,
6% 10 Yr C'wlth Bonds,97.4750,97.3750,97.3150,97.2650,97.2400,,
,
