Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-06-16T18:15:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 10,Jun 11,Jun 12,Jun 13,Jun 14,,
Volume,,
Futures,Closed,"562,441","962,625",n/a,"1,385,397",,
Options,–,"7,884","21,861",–,"22,698",,
TOTAL,–,"570,325","984,486",–,"1,408,095",,
Value ($'000),,
Futures,–,"261,007,915","353,923,853",–,"276,079,331",,
Options,–,"793,496","2,310,668",–,"2,295,412",,
TOTAL,–,"261,801,411","356,234,521",–,"278,374,743",,
Spot Month Movement:,,
SPI 200,–,4765.0,4730.0,–,4785.0,,
90 Day Bank Bills,–,97.240,97.230,–,97.190,,
6% 3 Year C'wlth Bonds,–,97.435,97.380,–,97.425,,
6% 10 Year C'wlth Bonds,–,96.590,96.545,–,96.630,,
,
