Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2012-06-16T20:30:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 8,Jun 12,Jun 13,Jun 14,Jun 15,,
Volume,,
Futures,"570,060","705,710","1,104,197","1,157,280","520,523",,
Options,"8,146","11,576","8,697","5,575","6,620",,
TOTAL,"578,206","717,286","1,112,894","1,162,855","527,143",,
Value ($'000),,
Futures,"227,105,112","181,852,412","221,236,361","226,895,345","138,950,276",,
Options,"815,330","1,160,491","880,004","600,060","675,039",,
TOTAL,"227,920,442","183,012,903","222,116,364","227,495,405","139,625,315",,
Spot Month Movement:,,
SPI 200,4072.0,4084.0,4066.0,4044.0,4053.0,,
90 Day Bank Bills,96.430,96.940,96.900,96.950,96.960,,
6% 3 Year C'wlth Bonds,97.660,97.685,97.590,97.680,97.635,,
6% 10 Year C'wlth Bonds,97.015,97.070,96.995,97.130,97.085,,
,
