Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-04-28T18:30:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Apr 22,Apr 23,Apr 24,Apr 25,Apr 26,,
Volume,,
Futures,"230,215","375,897","573,411","159,894","360,777",,
Options,"12,576","17,825","26,362",0,"7,394",,
TOTAL,"242,791","393,722","599,773","159,894","368,171",,
Value ($'000),,
Futures,"107,446,802","207,539,157","360,761,755","70,984,603","198,413,035",,
Options,"1,306,900","1,816,696","2,666,685",0,"751,158",,
TOTAL,"108,753,702","209,355,854","363,428,440","70,984,603","199,164,193",,
Spot Month Movement:,,
SPI 200,4959.0,5002.0,5107.0,5115.0,5107.0,,
90 Day Bank Bills,97.100,97.140,97.190,97.170,97.190,,
6% 3 Year C'wlth Bonds,97.310,97.380,97.420,97.380,97.420,,
6% 10 Year C'wlth Bonds,96.790,96.865,96.855,96.820,96.850,,
,
