Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Tuesday at 2012-11-13T11:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 5,Nov 6,Nov 7,Nov 8,Nov 9,,
Volume,,
Futures,"273,184","430,349","443,993","427,938","313,180",,
Options,"10,866","5,980","18,420","18,434","25,654",,
TOTAL,"284,050","436,329","462,413","446,372","338,834",,
Value ($'000),,
Futures,"145,262,743","376,475,865","223,919,981","213,660,835","144,687,920",,
Options,"1,090,918","608,322","1,848,803","1,853,672","2,565,509",,
TOTAL,"146,353,661","377,084,187","225,768,784","215,514,507","147,253,429",,
Spot Month Movement:,,
SPI 200,4458.0,4473.0,4496.0,4486.0,4484.0,,
90 Day Bank Bills,96.900,96.810,96.810,96.800,96.810,,
6% 3 Year C'wlth Bonds,97.420,97.350,97.350,97.390,97.430,,
6% 10 Year C'wlth Bonds,96.925,96.900,96.890,96.925,96.975,,
,
