Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-10-23T16:00:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 17,Oct 18,Oct 19,Oct 20,Oct 21,,
Volume,,
Futures,"294,564","295,011","311,980","350,804","191,227",,
Options,"1,621","7,771","9,253","7,883","12,097",,
TOTAL,"296,185","302,782","321,233","358,687","203,324",,
Value ($'000),,
Futures,"149,354,517","135,894,320","153,118,922","139,857,895","82,760,317",,
Options,"201,474","835,929","936,305","803,569","1,250,073",,
TOTAL,"149,555,990","136,730,249","154,055,227","140,661,464","84,010,390",,
Spot Month Movement:,,
SPI 200,4284.0,4185.0,4218.0,4148.0,4156.0,,
90 Day Bank Bills,95.440,95.470,95.460,95.470,95.450,,
6% 3 Year C'wlth Bonds,96.070,96.170,96.160,96.200,96.140,,
6% 10 Year C'wlth Bonds,95.395,95.505,95.495,95.540,95.480,,
,
