Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-05-17T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,May 12,May 13,May 14,May 15,May 16,,
Volume,,
Futures,"205,416","292,178","283,308","498,953","424,509",,
Options,"5,356","10,811","12,488","47,158","16,481",,
TOTAL,"210,772","302,989","295,796","546,111","440,990",,
Value ($'000),,
Futures,"83,416,176","92,917,227","112,839,168","192,413,793","148,776,416",,
Options,"551,541","1,085,730","1,310,524","4,762,882","1,910,691",,
TOTAL,"83,967,717","94,002,957","114,149,692","197,176,676","150,687,107",,
Spot Month Movement:,,
SPI 200,5437.0,5487.0,5511.0,5525.0,5491.0,,
90 Day Bank Bills,97.340,97.330,97.320,97.330,97.330,,
6% 3 Year C'wlth Bonds,97.130,97.120,97.140,97.160,97.170,,
6% 10 Year C'wlth Bonds,96.175,96.160,96.200,96.245,96.290,,
,
