Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-04-20T18:00:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,,
Volume,,
Futures,"466,197","496,394","315,687","417,973","341,464",,
Options,"14,958","22,310","33,825","32,491","61,317",,
TOTAL,"481,155","518,704","349,512","450,464","402,781",,
Value ($'000),,
Futures,"244,512,860","220,386,794","130,315,012","190,911,054","167,935,314",,
Options,"1,500,004","2,241,353","3,398,286","3,263,871","6,160,953",,
TOTAL,"246,012,864","222,628,148","133,713,298","194,174,925","174,096,267",,
Spot Month Movement:,,
SPI 200,4961.0,4946.0,5002.0,4932.0,4926.0,,
90 Day Bank Bills,97.050,97.060,97.060,97.100,97.100,,
6% 3 Year C'wlth Bonds,97.300,97.300,97.270,97.330,97.330,,
6% 10 Year C'wlth Bonds,96.755,96.750,96.745,96.815,96.805,,
,
