Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-05-31T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,May 26,May 27,May 28,May 29,May 30,,
Volume,,
Futures,"212,110","222,899","203,820","505,971","391,563",,
Options,"8,100","13,287","5,909","21,546","10,972",,
TOTAL,"220,210","236,186","209,729","527,517","402,535",,
Value ($'000),,
Futures,"104,360,634","69,670,383","85,778,344","211,255,619","127,886,522",,
Options,"838,461","1,531,961","712,594","2,202,260","1,261,431",,
TOTAL,"105,199,095","71,202,344","86,490,938","213,457,879","129,147,953",,
Spot Month Movement:,,
SPI 200,5524.0,5527.0,5537.0,5531.0,5503.0,,
90 Day Bank Bills,97.320,97.320,97.330,97.330,97.330,,
6% 3 Year C'wlth Bonds,97.200,97.180,97.190,97.240,97.230,,
6% 10 Year C'wlth Bonds,96.265,96.260,96.300,96.365,96.350,,
,
