Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-01-25T23:45:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jan 20,Jan 21,Jan 22,Jan 23,Jan 24,,
Volume,,
Futures,"321,980","279,387","713,024","529,937","575,839",,
Options,"14,209","4,260","35,755","15,771","16,707",,
TOTAL,"336,189","283,647","748,779","545,708","592,546",,
Value ($'000),,
Futures,"184,899,223","121,092,705","376,530,426","227,217,413","266,353,377",,
Options,"1,495,415","492,115","3,631,001","1,684,635","1,731,606",,
TOTAL,"186,394,638","121,584,820","380,161,427","228,902,048","268,084,983",,
Spot Month Movement:,,
SPI 200,5256.0,5288.0,5280.0,5228.0,5197.0,,
90 Day Bank Bills,97.470,97.460,97.410,97.410,97.430,,
6% 3 Year C'wlth Bonds,97.140,97.100,96.970,97.000,97.150,,
6% 10 Year C'wlth Bonds,95.975,95.950,95.870,95.885,96.015,,
,
