Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-01-15T16:30:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jan 9,Jan 10,Jan 11,Jan 12,Jan 13,,
Volume,,
Futures,"207,019","225,270","248,731","189,964",n/a,,
Options,"1,440","7,704","8,579","5,710",–,,
TOTAL,"208,459","232,974","257,310","195,674",–,,
Value ($'000),,
Futures,"90,402,764","111,531,710","101,222,647","65,274,254",–,,
Options,"145,310","772,352","882,007","637,479",–,,
TOTAL,"90,548,074","112,304,062","102,104,653","65,911,733",–,,
Spot Month Movement:,,
SPI 200,4072.0,4122.0,4169.0,4152.0,–,,
90 Day Bank Bills,95.930,95.890,95.890,95.890,–,,
6% 3 Year C'wlth Bonds,96.890,96.840,96.830,96.850,–,,
6% 10 Year C'wlth Bonds,96.200,96.155,96.160,96.195,–,,
,
