Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-06-14T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 9,Jun 10,Jun 11,Jun 12,Jun 13,,
Volume,,
Futures,"115,997","662,094","848,311","1,491,653","2,106,096",,
Options,n/a,"6,826","12,845","15,687","4,045",,
TOTAL,"115,997","668,920","861,156","1,507,340","2,110,141",,
Value ($'000),,
Futures,"29,721,788","143,209,094","189,280,325","273,154,415","338,927,049",,
Options,n/a,"707,980","1,336,557","1,637,517","427,160",,
TOTAL,"29,721,788","143,917,073","190,616,882","274,791,932","339,354,209",,
Spot Month Movement:,,
SPI 200,5478.0,5477.0,5459.0,5431.0,5405.0,,
90 Day Bank Bills,97.320,97.320,97.310,97.300,97.310,,
6% 3 Year C'wlth Bonds,97.160,97.160,97.115,97.150,97.160,,
6% 10 Year C'wlth Bonds,96.220,96.215,96.155,96.180,96.220,,
,
