Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-05-23T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,May 18,May 19,May 20,May 21,May 22,,
Volume,,
Futures,"345,163","416,590","482,790","353,494","235,005",,
Options,"2,987","4,902","15,480","8,781","6,190",,
TOTAL,"348,150","421,492","498,270","362,275","241,195",,
Value ($'000),,
Futures,"130,695,396","199,308,376","228,307,126","145,120,560","94,111,071",,
Options,"294,082","503,653","1,755,362","993,708","733,125",,
TOTAL,"130,989,478","199,812,029","230,062,488","146,114,268","94,844,197",,
Spot Month Movement:,,
SPI 200,5665.0,5620.0,5605.0,5666.0,5682.0,,
90 Day Bank Bills,97.870,97.860,97.860,97.860,97.860,,
6% 3 Year C'wlth Bonds,97.930,97.890,97.890,97.930,97.940,,
6% 10 Year C'wlth Bonds,97.1300,97.0550,97.0300,97.0600,97.0850,,
,
