Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-03-29T14:00:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,,
Volume,,
Futures,"288,083","411,792","357,393","365,206","307,893",,
Options,"14,882","16,833","17,546","17,265","7,949",,
TOTAL,"302,965","428,625","374,939","382,471","315,842",,
Value ($'000),,
Futures,"107,865,860","146,151,977","156,497,190","132,264,451","106,827,902",,
Options,"1,527,574","1,697,853","1,794,772","1,819,612","844,995",,
TOTAL,"109,393,434","147,849,829","158,291,962","134,084,063","107,672,897",,
Spot Month Movement:,,
SPI 200,5348.0,5338.0,5370.0,5345.0,5356.0,,
90 Day Bank Bills,97.360,97.370,97.360,97.360,97.360,,
6% 3 Year C'wlth Bonds,96.920,96.960,96.940,96.950,96.970,,
6% 10 Year C'wlth Bonds,95.820,95.870,95.880,95.910,95.925,,
,
