Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-08-01T14:00:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jul 27,Jul 28,Jul 29,Jul 30,Jul 31,,
Volume,,
Futures,"265,014","454,535","361,307","350,314","365,057",,
Options,"1,722","8,520","5,012","6,102","8,007",,
TOTAL,"266,736","463,055","366,319","356,416","373,064",,
Value ($'000),,
Futures,"88,847,695","139,676,557","127,948,746","131,517,719","106,308,429",,
Options,"172,277","847,235","511,836","654,666","858,298",,
TOTAL,"89,019,972","140,523,792","128,460,583","132,172,385","107,166,726",,
Spot Month Movement:,,
SPI 200,5537.0,5542.0,5573.0,5614.0,5651.0,,
90 Day Bank Bills,97.920,97.920,97.920,97.910,97.910,,
6% 3 Yr C'wlth Bonds,98.140,98.110,98.100,98.050,98.090,,
6% 10 Yr C'wlth Bonds,97.2150,97.2050,97.1700,97.1200,97.2050,,
,
