Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-08-09T13:30:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 4,Aug 5,Aug 6,Aug 7,Aug 8,,
Volume,,
Futures,"256,770","323,976","334,114","644,529","713,459",,
Options,"27,424","9,575","12,424","21,823","15,120",,
TOTAL,"284,194","333,551","346,538","666,352","728,579",,
Value ($'000),,
Futures,"93,336,321","133,058,997","127,997,578","353,838,496","322,125,453",,
Options,"2,760,248","1,028,128","1,320,897","2,267,243","1,594,841",,
TOTAL,"96,096,569","134,087,125","129,318,475","356,105,739","323,720,295",,
Spot Month Movement:,,
SPI 200,5484.0,5474.0,5458.0,5449.0,5376.0,,
90 Day Bank Bills,97.370,97.370,97.370,97.400,97.420,,
6% 3 Year C'wlth Bonds,97.280,97.300,97.270,97.380,97.500,,
6% 10 Year C'wlth Bonds,96.510,96.535,96.490,96.585,96.725,,
,
