Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-11-23T14:30:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 18,Nov 19,Nov 20,Nov 21,Nov 22,,
Volume,,
Futures,"243,463","366,952","350,710","382,251","319,806",,
Options,"8,955","12,162","22,067","15,705","16,986",,
TOTAL,"252,418","379,114","372,777","397,956","336,792",,
Value ($'000),,
Futures,"98,025,462","136,516,195","102,363,571","148,081,084","132,119,618",,
Options,"924,385","1,321,133","2,312,590","1,661,254","1,806,895",,
TOTAL,"98,949,847","137,837,327","104,676,162","149,742,337","133,926,513",,
Spot Month Movement:,,
SPI 200,5398.0,5368.0,5312.0,5301.0,5349.0,,
90 Day Bank Bills,97.410,97.410,97.410,97.410,97.420,,
6% 3 Year C'wlth Bonds,96.910,96.890,96.860,96.830,96.850,,
6% 10 Year C'wlth Bonds,95.845,95.835,95.785,95.720,95.735,,
,
