Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-12-09T16:00:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,,
Volume,,
Futures,"326,063","457,439","344,878","372,577","333,657",,
Options,"12,685","15,893","17,831","18,140","13,122",,
TOTAL,"338,748","473,332","362,709","390,717","346,779",,
Value ($'000),,
Futures,"213,050,640","339,341,224","144,298,143","155,203,062","132,984,750",,
Options,"1,280,789","1,599,941","1,898,201","1,914,876","1,359,918",,
TOTAL,"214,331,429","340,941,165","146,196,344","157,117,938","134,344,669",,
Spot Month Movement:,,
SPI 200,4550.0,4505.0,4525.0,4515.0,4560.0,,
90 Day Bank Bills,96.910,96.920,96.900,96.900,96.900,,
6% 3 Year C'wlth Bonds,97.430,97.390,97.380,97.400,97.400,,
6% 10 Year C'wlth Bonds,96.935,96.900,96.900,96.960,96.960,,
,
