Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-05-27T16:30:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,May 21,May 22,May 23,May 24,May 25,,
Volume,,
Futures,"526,334","353,887","574,288","377,724","443,801",,
Options,"9,248","13,139","22,674","14,283","19,257",,
TOTAL,"535,582","367,026","596,962","392,007","463,058",,
Value ($'000),,
Futures,"257,399,542","177,101,012","272,635,532","149,581,286","175,767,516",,
Options,"926,891","1,330,170","2,233,191","1,435,159","1,947,712",,
TOTAL,"258,326,433","178,431,182","274,868,723","151,016,445","177,715,228",,
Spot Month Movement:,,
SPI 200,4072.0,4135.0,4067.0,4052.0,4031.0,,
90 Day Bank Bills,96.660,96.620,96.670,96.630,96.590,,
6% 3 Year C'wlth Bonds,97.580,97.530,97.620,97.640,97.610,,
6% 10 Year C'wlth Bonds,96.900,96.840,96.890,96.920,96.890,,
,
