Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-04-14T20:30:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Apr 8,Apr 9,Apr 10,Apr 11,Apr 12,,
Volume,,
Futures,"496,422","390,891","471,161","537,364","312,277",,
Options,"11,556","18,276","14,069","21,571","14,887",,
TOTAL,"507,978","409,167","485,230","558,935","327,164",,
Value ($'000),,
Futures,"177,060,451","129,371,288","152,531,380","256,248,899","151,248,951",,
Options,"1,232,831","1,830,796","1,416,217","2,161,094","1,531,635",,
TOTAL,"178,293,282","131,202,084","153,947,596","258,409,993","152,780,585",,
Spot Month Movement:,,
SPI 200,4911.0,4969.0,4964.0,5011.0,5016.0,,
90 Day Bank Bills,96.980,96.980,96.980,97.010,97.020,,
6% 3 Year C'wlth Bonds,97.230,97.220,97.200,97.220,97.220,,
6% 10 Year C'wlth Bonds,96.780,96.760,96.720,96.685,96.700,,
,
