Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-08-28T16:00:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 22,Aug 23,Aug 24,Aug 25,Aug 26,,
Volume,,
Futures,"279,009","350,751","315,732","287,274","362,502",,
Options,"4,735","7,136","8,359","8,735","8,043",,
TOTAL,"283,744","357,887","324,091","296,009","370,545",,
Value ($'000),,
Futures,"96,005,790","150,713,558","142,536,061","125,210,468","156,468,896",,
Options,"475,893","729,516","886,110","948,366","871,915",,
TOTAL,"96,481,684","151,443,073","143,422,172","126,158,834","157,340,811",,
Spot Month Movement:,,
SPI 200,4076.0,4170.0,4168.0,4214.0,4197.0,,
90 Day Bank Bills,95.410,95.340,95.340,95.300,95.280,,
6% 3 Year C'wlth Bonds,96.400,96.240,96.300,96.180,96.170,,
6% 10 Year C'wlth Bonds,95.730,95.605,95.640,95.570,95.605,,
,
